,objective,noise_variance,train_rms,val_rms,test_rms
10,-67376.95881736279,8.234178134897116e-05,0.00397517848149051,0.0038600779990979757,0.00403934020962354
20,-69296.03240722418,7.427439712114422e-05,0.003932361067714708,0.0038017465374605083,0.003963434558079133
30,-70606.16545021534,6.712965806155745e-05,0.003778106583761783,0.003613554760795471,0.003760778977169833
40,-70612.26884520054,6.651937863780692e-05,0.003754480394633287,0.003589694791014235,0.0037392218942059233
50,-71419.73212835193,6.26628551084702e-05,0.0036665569151090563,0.0035180802376518546,0.0036881503082811184
75,-71817.19975194335,6.085302345785861e-05,0.0036358637419345798,0.0035040485696441167,0.0036725383527638445
100,-71288.18124616146,6.120794956162963e-05,0.0036777987041803485,0.003525689866104125,0.0036845689739443883
125,-73231.41955295205,5.1354213527174895e-05,0.0033128767031662992,0.003193733800867379,0.0033766648706513675
150,-73371.20859912038,5.0493668029471624e-05,0.0032971109698166153,0.0031770164391488045,0.003421449506592342
